"Patch","Lat","Lon","AREA","Road","X","Y"
"3032",60.26,20.37,876.9508309,1,133.68166191,6699.1473054
"3033",60.26,20.37,1226.899451,0,133.63223031,6699.0551487
"3034",60.26,20.37,119.2286105,0,133.5957014,6699.018921
"3035",60.26,20.36,3721.742776,0,133.19353448,6699.3316125
"3036",60.26,20.36,340.2949663,0,133.18641081,6699.2209088
"3037",60.26,20.37,967.495939,1,133.38987906,6699.1597901
"3039",60.26,20.37,86.51341206,1,133.47874241,6698.932083
"3040",60.28,20.34,71.2136781,1,132.24069745,6701.6823392
"3041",60.27,20.35,526.4574024,1,132.35985094,6699.9006474
"3042",60.26,20.36,138.335572,1,132.79299312,6698.7855461
"3043",60.26,20.36,410.0596117,1,132.90037592,6698.9139534
"3044",60.26,20.36,293.2909781,1,133.01363443,6698.9284474
"3045",60.26,20.37,386.6831634,1,133.45211095,6698.7486727
"3046",60.26,20.37,94.11685666,1,NA,NA
"3047",60.26,20.37,2511.358664,1,133.47496075,6698.5605797
"3048",60.26,20.37,2737.012285,1,133.45178504,6698.6679163
"3049",60.26,20.37,65.76204053,1,133.21968599,6698.6518145
"3050",60.26,20.37,161.3813608,0,133.27649292,6698.5008674
"3051",60.26,20.36,60.09231608,1,NA,NA
"3052",60.25,20.35,640.1482684,1,132.48782542,6697.8158295
"3053",60.25,20.35,686.2940109,1,132.40585522,6697.6103685
"3054",60.25,20.35,134.6347828,1,132.44181228,6697.5673809
"3055",60.25,20.36,2349.576343,1,132.55103157,6697.4752904
"3056",60.25,20.35,51.65828808,1,132.29045077,6697.448761
"3057",60.25,20.35,263.6551341,1,132.16518669,6697.6437315
"3058",60.25,20.37,578.8418443,0,133.400833,6697.4198278
"3060",60.24,20.35,307.3278781,1,132.47153688,6697.0842718
"3061",60.25,20.35,2408.986094,0,132.38081463,6697.4043252
"3062",60.24,20.34,963.869538,1,131.52879379,6697.1218886
"3063",60.24,20.33,2957.253548,1,131.13621555,6697.2869204
"3064",60.24,20.34,281.9763933,1,131.41032777,6697.2279413
"3065",60.24,20.33,765.9592441,1,130.97803558,6696.7738399
"3066",60.24,20.33,383.7114778,1,131.05542005,6697.1408236
"3068",60.24,20.33,268.5881796,1,131.11353235,6696.3815612
"3069",60.24,20.33,260.8695238,1,131.24834117,6696.6531282
"3070",60.24,20.33,2212.565469,0,131.34045379,6696.8090436
"3071",60.24,20.34,145.4516534,1,131.5480144,6696.515478
"3072",60.23,20.33,479.0135913,1,131.05006689,6695.7396174
"3073",60.34,20.29,50.5851563,1,130.26203908,6708.2872269
"3074",60.34,20.3,80.76803728,0,130.5934889,6707.5438716
"3075",60.33,20.3,6865.319978,1,130.66695802,6707.4576527
"3076",60.34,20.31,21714.15035,1,130.96383788,6707.6156625
"3077",60.33,20.31,294.9621599,1,130.96573753,6707.4669015
"3078",60.34,20.3,688.0514779,0,130.76992913,6707.6022138
"3079",NA,NA,NA,0,NA,NA
